19.8734 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.8796 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='THANKYOU!', units='height', win=Window(...), wrapWidth=1)
0.0220 	EXP 	text_2: autoDraw = True
1.0125 	DEBUG 	Read excel file with openpyxl: C:/Users/Kanak/OneDrive/pschopy_LAB PSYCHOLOGY/cond.xlsx
1.0128 	EXP 	Imported C:/Users/Kanak/OneDrive/pschopy_LAB PSYCHOLOGY/cond.xlsx as conditions, 4 conditions, 4 params
1.0133 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'RED', 'colour': 'red', 'stim_condition': 'C', 'correct_res': 'r', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.0215 	EXP 	text_2: autoDraw = False
1.0215 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
1.0215 	EXP 	text: height = np.float64(0.05)
1.0215 	EXP 	text: height = np.float64(0.05)
1.0215 	EXP 	text: height = np.float64(0.05)
1.0215 	EXP 	text: text = 'RED'
1.0215 	EXP 	fixation: autoDraw = True
1.5056 	INFO 	Keyboard events cleared
1.5055 	EXP 	fixation: autoDraw = False
1.5055 	EXP 	text: autoDraw = True
6.0059 	EXP 	text: autoDraw = False
7.0110 	EXP 	Device response: <KeyPress from None: t=6.993320199660957, value=r, duration=None>
7.0112 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'BLUE', 'colour': 'blue', 'stim_condition': 'C', 'correct_res': 'b', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
7.0152 	DATA 	Keypress: r
7.0208 	EXP 	fixation: autoDraw = False
7.0208 	EXP 	text: autoDraw = False
7.0208 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
7.0208 	EXP 	text: height = np.float64(0.05)
7.0208 	EXP 	text: height = np.float64(0.05)
7.0208 	EXP 	text: height = np.float64(0.05)
