thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2075)],[np.float64(-0.2875)],[1],[0],[0],[1.2505498999962583],['target'],0,0,0,0,0.05229869997128844,,10,0.03654070000629872,0.05229869997128844,0.05229869997128844,0.03656160004902631,1.2871395000256598,[np.float64(-0.2075)],[np.float64(-0.2875)],[1],[0],[0],[1.2505498999962583],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
1,0,1,[np.float64(-0.32125)],[np.float64(-0.37375)],[1],[0],[0],[1.617659499985166],['target'],1,0,1,0,1.3182716000592336,,10,1.3025884999660775,1.3182716000592336,1.3182716000592336,0.015332399983890355,2.920319900033064,[np.float64(-0.32125)],[np.float64(-0.37375)],[1],[0],[0],[1.617659499985166],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
2,0,2,[np.float64(-0.29375)],[np.float64(0.45375)],[1],[0],[0],[1.235209699952975],['target'],2,0,2,0,2.951860100030899,,10,2.9347770999884233,2.951860100030899,2.951860100030899,0.01432269997894764,4.170039499993436,[np.float64(-0.29375)],[np.float64(0.45375)],[1],[0],[0],[1.235209699952975],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
3,0,3,[np.float64(0.48375)],[np.float64(-0.47625)],[1],[0],[0],[2.043044399935752],['target'],3,0,3,0,4.185315300012007,,5,4.177530899993144,4.185315300012007,4.185315300012007,0.0073714000172913074,6.220690099988133,[np.float64(0.48375)],[np.float64(-0.47625)],[1],[0],[0],[2.043044399935752],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
4,0,4,[np.float64(-0.04875)],[np.float64(0.31375)],[1],[0],[0],[1.165039199986495],['target'],4,0,4,0,6.250688000000082,,10,6.2375519999768585,6.250688000000082,6.250688000000082,0.016679599997587502,7.402643200010061,[np.float64(-0.04875)],[np.float64(0.31375)],[1],[0],[0],[1.165039199986495],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
5,0,5,[np.float64(0.43875)],[np.float64(0.035)],[1],[0],[0],[1.4359006999293342],['target'],5,0,5,0,7.433977900072932,,10,7.41657280002255,7.433977900072932,7.433977900072932,0.013812200049869716,8.852529600029811,[np.float64(0.43875)],[np.float64(0.035)],[1],[0],[0],[1.4359006999293342],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
6,0,6,"[np.float64(0.48125), np.float64(0.49125)]","[np.float64(0.05), np.float64(0.0575)]","[1, 1]","[0, 0]","[0, 0]","[1.4915446999948472, 2.458019300014712]","[None, 'target']",6,0,6,0,8.868083500070497,,5,8.86047710001003,8.868083500070497,8.868083500070497,0.007811399991624057,11.31855219998397,"[np.float64(0.48125), np.float64(0.49125)]","[np.float64(0.05), np.float64(0.0575)]","[1, 1]","[0, 0]","[0, 0]","[1.4915446999948472, 2.458019300014712]","[None, 'target']",P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
7,0,7,[np.float64(0.21125)],[np.float64(0.36375)],[1],[0],[0],[1.0748310999479145],['target'],7,0,7,0,11.334139900049195,,5,11.327144799986854,11.334139900049195,11.334139900049195,0.00847769994288683,12.402031500008889,[np.float64(0.21125)],[np.float64(0.36375)],[1],[0],[0],[1.0748310999479145],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
8,0,8,[np.float64(-0.37)],[np.float64(0.0475)],[1],[0],[0],[1.2082804000237957],['target'],8,0,8,0,12.417633400065824,,5,12.410817099967971,12.417633400065824,12.417633400065824,0.008641399908810854,13.619146800017916,[np.float64(-0.37)],[np.float64(0.0475)],[1],[0],[0],[1.2082804000237957],['target'],P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
9,0,9,"[np.float64(0.33625), np.float64(0.3525)]","[np.float64(-0.13625), np.float64(-0.14875)]","[1, 1]","[0, 0]","[0, 0]","[1.3072516999673098, 2.2069493000162765]","[None, 'target']",9,0,9,0,13.651210500043817,,5,13.627625999972224,13.651210500043817,13.651210500043817,0.008387499954551458,15.834639100008644,"[np.float64(0.33625), np.float64(0.3525)]","[np.float64(-0.13625), np.float64(-0.14875)]","[1, 1]","[0, 0]","[0, 0]","[1.3072516999673098, 2.2069493000162765]","[None, 'target']",P_03,001,2025-09-28_19h31.07.844,Visual search experiment,,2025.1.1,60.16604624400889,2025-09-28 19h31.17.838469 +0530,
