5.5357 	EXP 	grating: ori = np.float64(1.0)
5.5357 	EXP 	fixation: autoDraw = True
5.7024 	EXP 	Device response: <KeyPress from None: t=5.5177990999982285, value=left, duration=0.16951669999980368>
6.0204 	INFO 	Keyboard events cleared
6.0203 	EXP 	grating: autoDraw = True
6.0357 	EXP 	fixation: autoDraw = False
6.3369 	EXP 	grating: autoDraw = False
7.9352 	EXP 	Device response: <KeyPress from None: t=7.933038699997269, value=right, duration=None>
7.9359 	DATA 	Keypress: right
7.9530 	EXP 	fixation: autoDraw = False
7.9530 	EXP 	grating: autoDraw = False
7.9530 	EXP 	grating: ori = np.float64(1.0)
7.9530 	EXP 	fixation: autoDraw = True
8.0681 	EXP 	Device response: <KeyPress from None: t=7.933038699997269, value=right, duration=0.13456980000046315>
8.4363 	INFO 	Keyboard events cleared
8.4362 	EXP 	grating: autoDraw = True
8.4529 	EXP 	fixation: autoDraw = False
8.7351 	EXP 	grating: autoDraw = False
9.1682 	DATA 	Keypress: right
9.1858 	EXP 	Device response: <KeyPress from None: t=9.167999899997085, value=right, duration=None>
9.2023 	EXP 	fixation: autoDraw = False
9.2023 	EXP 	grating: autoDraw = False
9.2023 	EXP 	grating: ori = np.float64(-1.0)
9.2023 	EXP 	fixation: autoDraw = True
9.3532 	EXP 	Device response: <KeyPress from None: t=9.167999899997085, value=right, duration=0.1693641000019852>
9.7026 	INFO 	Keyboard events cleared
9.7025 	EXP 	fixation: autoDraw = False
9.7025 	EXP 	grating: autoDraw = True
10.0190 	EXP 	grating: autoDraw = False
10.0686 	EXP 	Device response: <KeyPress from None: t=10.06467849999899, value=left, duration=None>
10.0694 	DATA 	Keypress: left
10.0856 	EXP 	fixation: autoDraw = False
10.0856 	EXP 	grating: autoDraw = False
10.0856 	EXP 	grating: ori = np.float64(1.0)
10.0856 	EXP 	fixation: autoDraw = True
10.2194 	EXP 	Device response: <KeyPress from None: t=10.06467849999899, value=left, duration=0.14968529999896418>
10.5688 	INFO 	Keyboard events cleared
10.5688 	EXP 	grating: autoDraw = True
10.5852 	EXP 	fixation: autoDraw = False
10.8696 	EXP 	grating: autoDraw = False
10.9843 	EXP 	Device response: <KeyPress from None: t=10.980740499999229, value=right, duration=None>
10.9849 	DATA 	Keypress: right
11.0013 	EXP 	fixation: autoDraw = False
11.0013 	EXP 	grating: autoDraw = False
11.0013 	EXP 	grating: ori = np.float64(1.0)
11.0013 	EXP 	fixation: autoDraw = True
11.1517 	EXP 	Device response: <KeyPress from None: t=10.980740499999229, value=right, duration=0.15985100000034436>
11.4855 	INFO 	Keyboard events cleared
11.4855 	EXP 	grating: autoDraw = True
11.5028 	EXP 	fixation: autoDraw = False
11.7848 	EXP 	grating: autoDraw = False
12.3522 	EXP 	Device response: <KeyPress from None: t=12.340572499997506, value=left, duration=None>
12.3529 	DATA 	Keypress: left
12.3694 	EXP 	fixation: autoDraw = False
12.3694 	EXP 	grating: autoDraw = False
12.3694 	EXP 	grating: ori = np.float64(-2.0)
12.3694 	EXP 	fixation: autoDraw = True
12.4842 	EXP 	Device response: <KeyPress from None: t=12.340572499997506, value=left, duration=0.1343921000006958>
12.8522 	INFO 	Keyboard events cleared
12.8521 	EXP 	grating: autoDraw = True
12.8673 	EXP 	fixation: autoDraw = False
13.1520 	EXP 	grating: autoDraw = False
13.3344 	EXP 	Device response: <KeyPress from None: t=13.321243999998842, value=left, duration=None>
13.3352 	DATA 	Keypress: left
13.3507 	EXP 	fixation: autoDraw = False
13.3507 	EXP 	grating: autoDraw = False
13.3507 	EXP 	grating: ori = np.float64(2.0)
13.3507 	EXP 	fixation: autoDraw = True
13.5011 	EXP 	Device response: <KeyPress from None: t=13.321243999998842, value=left, duration=0.1698553999995056>
13.8350 	INFO 	Keyboard events cleared
13.8350 	EXP 	grating: autoDraw = True
13.8509 	EXP 	fixation: autoDraw = False
14.1349 	EXP 	grating: autoDraw = False
14.3185 	EXP 	Device response: <KeyPress from None: t=14.307255499999883, value=right, duration=None>
14.3193 	DATA 	Keypress: right
14.3351 	EXP 	fixation: autoDraw = False
14.3351 	EXP 	grating: autoDraw = False
14.3351 	EXP 	grating: ori = np.float64(2.0)
14.3351 	EXP 	fixation: autoDraw = True
14.4854 	EXP 	Device response: <KeyPress from None: t=14.307255499999883, value=right, duration=0.1747278999973787>
14.8178 	INFO 	Keyboard events cleared
14.8177 	EXP 	grating: autoDraw = True
14.8339 	EXP 	fixation: autoDraw = False
15.1182 	EXP 	grating: autoDraw = False
15.4186 	EXP 	Device response: <KeyPress from None: t=15.403718999998091, value=right, duration=None>
15.4194 	DATA 	Keypress: right
15.4341 	EXP 	fixation: autoDraw = False
15.4341 	EXP 	grating: autoDraw = False
15.4341 	EXP 	grating: ori = np.float64(1.0)
15.4341 	EXP 	fixation: autoDraw = True
15.5514 	EXP 	Device response: <KeyPress from None: t=15.403718999998091, value=right, duration=0.14377299999978277>
15.9337 	INFO 	Keyboard events cleared
15.9336 	EXP 	fixation: autoDraw = False
15.9336 	EXP 	grating: autoDraw = True
16.2344 	EXP 	grating: autoDraw = False
16.6014 	EXP 	Device response: <KeyPress from None: t=16.59812669999883, value=left, duration=None>
16.6021 	DATA 	Keypress: left
16.6183 	EXP 	fixation: autoDraw = False
16.6183 	EXP 	grating: autoDraw = False
