thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.2075)],[np.float64(0.1)],[1],[0],[0],[10.7844066999387],['target'],0,0,0,0,0.03666510002221912,,10,0.019147300045005977,0.03666510002221912,0.03666510002221912,0.01916759996674955,10.803604100015946,[np.float64(0.2075)],[np.float64(0.1)],[1],[0],[0],[10.7844066999387],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
1,0,1,[np.float64(0.45125)],[np.float64(-0.2725)],[1],[0],[0],[2.4507303000427783],['target'],1,0,1,0,10.83464879996609,,10,10.818489099969156,10.83464879996609,10.83464879996609,0.014760199934244156,13.269269000040367,[np.float64(0.45125)],[np.float64(-0.2725)],[1],[0],[0],[2.4507303000427783],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
2,0,2,[np.float64(-0.39625)],[np.float64(0.1475)],[1],[0],[0],[1.484541799989529],['target'],2,0,2,0,13.300736600067466,,10,13.284097900032066,13.300736600067466,13.300736600067466,0.014717100071720779,14.768688000040129,[np.float64(-0.39625)],[np.float64(0.1475)],[1],[0],[0],[1.484541799989529],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
3,0,3,[np.float64(0.37625)],[np.float64(-0.14375)],[1],[0],[0],[1.5933647999772802],['target'],3,0,3,0,14.78367460006848,,5,14.776956200017594,14.78367460006848,14.78367460006848,0.008155800052918494,16.370373800047673,[np.float64(0.37625)],[np.float64(-0.14375)],[1],[0],[0],[1.5933647999772802],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
4,0,4,[np.float64(0.02125)],[np.float64(0.2775)],[1],[0],[0],[1.4402508999919519],['target'],4,0,4,0,16.383685400011018,,5,16.377398999989964,16.383685400011018,16.383685400011018,0.00693829997908324,17.81770749995485,[np.float64(0.02125)],[np.float64(0.2775)],[1],[0],[0],[1.4402508999919519],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
5,0,5,[np.float64(0.255)],[np.float64(0.30375)],[1],[0],[0],[1.2178636000026017],['target'],5,0,5,0,17.850354800000787,,10,17.8331117000198,17.850354800000787,17.850354800000787,0.0153095000423491,19.051024800050072,[np.float64(0.255)],[np.float64(0.30375)],[1],[0],[0],[1.2178636000026017],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
6,0,6,[np.float64(0.41)],[np.float64(-0.01625)],[1],[0],[0],[2.2580136000178754],['target'],6,0,6,0,19.06646590004675,,5,19.05918840004597,19.06646590004675,19.06646590004675,0.008047000039368868,21.31725009996444,[np.float64(0.41)],[np.float64(-0.01625)],[1],[0],[0],[2.2580136000178754],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
7,0,7,[np.float64(0.02625)],[np.float64(-0.18125)],[1],[0],[0],[1.5679282000055537],['target'],7,0,7,0,21.34880759997759,,10,21.332588199991733,21.34880759997759,21.34880759997759,0.015240899985656142,22.900570500059985,[np.float64(0.02625)],[np.float64(-0.18125)],[1],[0],[0],[1.5679282000055537],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
8,0,8,[np.float64(0.4625)],[np.float64(-0.48)],[1],[0],[0],[2.4749861999880522],['target'],8,0,8,0,22.915926999994554,,5,22.90807660005521,22.915926999994554,22.915926999994554,0.0073865000158548355,25.38311000005342,[np.float64(0.4625)],[np.float64(-0.48)],[1],[0],[0],[2.4749861999880522],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
9,0,9,[np.float64(0.01375)],[np.float64(-0.38)],[1],[0],[0],[1.3418611999368295],['target'],9,0,9,0,25.398666299995966,,5,25.391479899990372,25.398666299995966,25.398666299995966,0.008278000052087009,26.733401000034064,[np.float64(0.01375)],[np.float64(-0.38)],[1],[0],[0],[1.3418611999368295],['target'],P_05,001,2025-09-28_19h43.55.073,Visual search experiment,,2025.1.1,60.09582881071758,2025-09-28 19h44.07.780069 +0530,
