thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.3325)],[np.float64(-0.3875)],[1],[0],[0],[1.88065700000152],['target'],0,0,0,0,0.031529700034298,,10,0.01916030002757907,0.031529700034298,0.031529700034298,0.019181499956175685,1.8998778000241145,[np.float64(0.3325)],[np.float64(-0.3875)],[1],[0],[0],[1.88065700000152],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
1,0,1,[np.float64(-0.21625)],[np.float64(-0.0225)],[1],[0],[0],[1.2175141999032348],['target'],1,0,1,0,1.9309249999932945,,10,1.9146487000398338,1.9309249999932945,1.9309249999932945,0.014652700047008693,3.13221790001262,[np.float64(-0.21625)],[np.float64(-0.0225)],[1],[0],[0],[1.2175141999032348],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
2,0,2,[np.float64(0.15875)],[np.float64(0.43375)],[1],[0],[0],[1.3852270999923348],['target'],2,0,2,0,3.164260799996555,,10,3.1469415000174195,3.164260799996555,3.164260799996555,0.014609600068069994,4.532218600041233,[np.float64(0.15875)],[np.float64(0.43375)],[1],[0],[0],[1.3852270999923348],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
3,0,3,[np.float64(-0.275)],[np.float64(-0.375)],[1],[0],[0],[1.7190258000046015],['target'],3,0,3,0,4.564075500005856,,10,4.546764699975029,4.564075500005856,4.564075500005856,0.01443690003361553,6.265841200016439,[np.float64(-0.275)],[np.float64(-0.375)],[1],[0],[0],[1.7190258000046015],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
4,0,4,[np.float64(0.41)],[np.float64(0.4075)],[1],[0],[0],[1.5017541999695823],['target'],4,0,4,0,6.297174000064842,,10,6.280168200028129,6.297174000064842,6.297174000064842,0.01421320007648319,7.781972600030713,[np.float64(0.41)],[np.float64(0.4075)],[1],[0],[0],[1.5017541999695823],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
5,0,5,[np.float64(-0.225)],[np.float64(-0.455)],[1],[0],[0],[1.4577669000718743],['target'],5,0,5,0,7.797008799971081,,5,7.790036999969743,7.797008799971081,7.797008799971081,0.007956199930049479,9.247849900042638,[np.float64(-0.225)],[np.float64(-0.455)],[1],[0],[0],[1.4577669000718743],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
6,0,6,"[np.float64(0.44), np.float64(0.4525)]","[np.float64(-0.395), np.float64(-0.415)]","[1, 1]","[0, 0]","[0, 0]","[1.4856470000231639, 2.3690364999929443]","[None, 'target']",6,0,6,0,9.279317600070499,,10,9.26256020006258,9.279317600070499,9.279317600070499,0.014614699990488589,11.631652100011706,"[np.float64(0.44), np.float64(0.4525)]","[np.float64(-0.395), np.float64(-0.415)]","[1, 1]","[0, 0]","[0, 0]","[1.4856470000231639, 2.3690364999929443]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
7,0,7,[np.float64(0.23625)],[np.float64(0.05625)],[1],[0],[0],[1.1904762999620289],['target'],7,0,7,0,11.646374000003561,,5,11.640232400037348,11.646374000003561,11.646374000003561,0.008443300030194223,12.830755700008012,[np.float64(0.23625)],[np.float64(0.05625)],[1],[0],[0],[1.1904762999620289],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
8,0,8,[np.float64(0.28875)],[np.float64(0.32)],[1],[0],[0],[1.0914974000770599],['target'],8,0,8,0,12.846459200023673,,5,12.838820700068027,12.846459200023673,12.846459200023673,0.007972499937750399,13.930370400077663,[np.float64(0.28875)],[np.float64(0.32)],[1],[0],[0],[1.0914974000770599],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
9,0,9,[np.float64(0.505)],[np.float64(-0.3075)],[1],[0],[0],[1.358367000008002],['target'],9,0,9,0,13.946065700030886,,5,13.938610500073992,13.946065700030886,13.946065700030886,0.008140399935655296,15.297025399981067,[np.float64(0.505)],[np.float64(-0.3075)],[1],[0],[0],[1.358367000008002],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
10,0,10,[np.float64(-0.13)],[np.float64(0.15)],[1],[0],[0],[1.6080608000047505],['target'],10,0,10,0,15.312708200071938,,5,15.305316500016488,15.312708200071938,15.312708200071938,0.008190999971702695,16.91346650000196,[np.float64(-0.13)],[np.float64(0.15)],[1],[0],[0],[1.6080608000047505],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
11,0,11,"[np.float64(-0.44625), np.float64(-0.455)]","[np.float64(-0.315), np.float64(-0.33375)]","[1, 1]","[0, 0]","[0, 0]","[1.4917529999511316, 2.4748733999440446]","[None, 'target']",11,0,11,0,16.929923900053836,,5,16.92149660002906,16.929923900053836,16.929923900053836,0.007930300082080066,19.39643530000467,"[np.float64(-0.44625), np.float64(-0.455)]","[np.float64(-0.315), np.float64(-0.33375)]","[1, 1]","[0, 0]","[0, 0]","[1.4917529999511316, 2.4748733999440446]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
12,0,12,[np.float64(-0.19125)],[np.float64(-0.02375)],[1],[0],[0],[1.2912248999346048],['target'],12,0,12,0,19.411618800018914,,5,19.405044200015254,19.411618800018914,19.411618800018914,0.00848359998781234,20.696316400077194,[np.float64(-0.19125)],[np.float64(-0.02375)],[1],[0],[0],[1.2912248999346048],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
13,0,13,[np.float64(0.2875)],[np.float64(-0.38375)],[1],[0],[0],[1.6412288000574335],['target'],13,0,13,0,20.7112930000294,,5,20.704468099982478,20.7112930000294,20.7112930000294,0.008058200008235872,22.345743600046262,[np.float64(0.2875)],[np.float64(-0.38375)],[1],[0],[0],[1.6412288000574335],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
14,0,14,[np.float64(0.0725)],[np.float64(0.38875)],[1],[0],[0],[1.45821990002878],['target'],14,0,14,0,22.36130079999566,,5,22.353886500000954,22.36130079999566,22.36130079999566,0.008050699951127172,23.812154700048268,[np.float64(0.0725)],[np.float64(0.38875)],[1],[0],[0],[1.45821990002878],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
15,0,15,[np.float64(-0.50375)],[np.float64(0.17625)],[1],[0],[0],[1.3849442000500858],['target'],15,0,15,0,23.845114800031297,,10,23.827265599975362,23.845114800031297,23.845114800031297,0.015017999918200076,25.212257700040936,[np.float64(-0.50375)],[np.float64(0.17625)],[1],[0],[0],[1.3849442000500858],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
16,0,16,[np.float64(-0.015)],[np.float64(-0.2325)],[1],[0],[0],[1.6686947999987751],['target'],16,0,16,0,25.243694700067863,,10,25.226737500051968,25.243694700067863,25.243694700067863,0.014365300070494413,26.895482799969614,[np.float64(-0.015)],[np.float64(-0.2325)],[1],[0],[0],[1.6686947999987751],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
