thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
17,0,17,[np.float64(0.06625)],[np.float64(-0.175)],[1],[0],[0],[1.1910693000536412],['target'],17,0,17,0,26.910720300045796,,5,26.903954099980183,26.910720300045796,26.910720300045796,0.008358599967323244,28.095070200040936,[np.float64(0.06625)],[np.float64(-0.175)],[1],[0],[0],[1.1910693000536412],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
18,0,18,[np.float64(0.2875)],[np.float64(-0.20875)],[1],[0],[0],[1.4515079000266269],['target'],18,0,18,0,28.12641640007496,,10,28.109536200063303,28.12641640007496,28.12641640007496,0.014354299986734986,29.56109380000271,[np.float64(0.2875)],[np.float64(-0.20875)],[1],[0],[0],[1.4515079000266269],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
19,0,19,[np.float64(0.1325)],[np.float64(-0.30375)],[1],[0],[0],[1.2769310999428853],['target'],19,0,19,0,29.577071900013834,,5,29.568430299987085,29.577071900013834,29.577071900013834,0.007220699917525053,30.845424400060438,[np.float64(0.1325)],[np.float64(-0.30375)],[1],[0],[0],[1.2769310999428853],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
20,0,20,[np.float64(-0.29625)],[np.float64(0.34375)],[1],[0],[0],[1.682898600003682],['target'],20,0,20,0,30.876251799985766,,10,30.861315099988133,30.876251799985766,30.876251799985766,0.015800400055013597,32.54426500003319,[np.float64(-0.29625)],[np.float64(0.34375)],[1],[0],[0],[1.682898600003682],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
21,0,21,[np.float64(0.23875)],[np.float64(0.36375)],[1],[0],[0],[1.402245899895206],['target'],21,0,21,0,32.57557350001298,,10,32.558392900042236,32.57557350001298,32.57557350001298,0.014007000019773841,33.960685900063254,[np.float64(0.23875)],[np.float64(0.36375)],[1],[0],[0],[1.402245899895206],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
22,0,22,[np.float64(-0.0325)],[np.float64(0.445)],[1],[0],[0],[1.2925661000190303],['target'],22,0,22,0,33.9758950000396,,5,33.967969199991785,33.9758950000396,33.9758950000396,0.007178599946200848,35.26058660005219,[np.float64(-0.0325)],[np.float64(0.445)],[1],[0],[0],[1.2925661000190303],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
23,0,23,[np.float64(-0.04875)],[np.float64(-0.30125)],[1],[0],[0],[1.5254502999596298],['target'],23,0,23,0,35.27595320006367,,5,35.26784730004147,35.27595320006367,35.27595320006367,0.007169599994085729,36.79334540001582,[np.float64(-0.04875)],[np.float64(-0.30125)],[1],[0],[0],[1.5254502999596298],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
24,0,24,[np.float64(-0.085)],[np.float64(0.055)],[1],[0],[0],[1.3586737998994067],['target'],24,0,24,0,36.809315599966794,,5,36.80140520003624,36.809315599966794,36.809315599966794,0.007957700057886541,38.16014010005165,[np.float64(-0.085)],[np.float64(0.055)],[1],[0],[0],[1.3586737998994067],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
25,0,25,[np.float64(-0.19625)],[np.float64(0.07625)],[1],[0],[0],[1.4019640000769868],['target'],25,0,25,0,38.191463400027715,,10,38.17459609999787,38.191463400027715,38.191463400027715,0.014358500018715858,39.57660719996784,[np.float64(-0.19625)],[np.float64(0.07625)],[1],[0],[0],[1.4019640000769868],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
26,0,26,[np.float64(-0.18625)],[np.float64(-0.44375)],[1],[0],[0],[1.9519992000423372],['target'],26,0,26,0,39.607865200028755,,10,39.59062290005386,39.607865200028755,39.607865200028755,0.013903900049626827,41.54268269997556,[np.float64(-0.18625)],[np.float64(-0.44375)],[1],[0],[0],[1.9519992000423372],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
27,0,27,[np.float64(0.40125)],[np.float64(0.1175)],[1],[0],[0],[2.1086394999874756],['target'],27,0,27,0,41.55847559997346,,5,41.5501981000416,41.55847559997346,41.55847559997346,0.007374599925242364,43.658889100071974,[np.float64(0.40125)],[np.float64(0.1175)],[1],[0],[0],[2.1086394999874756],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
28,0,28,[np.float64(0.13625)],[np.float64(0.40625)],[1],[0],[0],[1.1679684999398887],['target'],28,0,28,0,43.69019800005481,,10,43.673847700003535,43.69019800005481,43.69019800005481,0.01486500003375113,44.841876100050285,[np.float64(0.13625)],[np.float64(0.40625)],[1],[0],[0],[1.1679684999398887],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
29,0,29,[np.float64(-0.07125)],[np.float64(0.29)],[1],[0],[0],[1.1516120999585837],['target'],29,0,29,0,44.873486800002865,,10,44.85662019997835,44.873486800002865,44.873486800002865,0.01461750001180917,46.008287800010294,[np.float64(-0.07125)],[np.float64(0.29)],[1],[0],[0],[1.1516120999585837],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
30,0,30,[np.float64(0.1975)],[np.float64(0.28125)],[1],[0],[0],[1.2033100000116974],['target'],30,0,30,0,46.04008750000503,,10,46.022231100010686,46.04008750000503,46.04008750000503,0.013831699965521693,47.22559190005995,[np.float64(0.1975)],[np.float64(0.28125)],[1],[0],[0],[1.2033100000116974],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
31,0,31,[np.float64(0.01375)],[np.float64(-0.01375)],[1],[0],[0],[1.701863000052981],['target'],31,0,31,0,47.2567965000635,,10,47.23930420004763,47.2567965000635,47.2567965000635,0.013599300058558583,48.94121850002557,[np.float64(0.01375)],[np.float64(-0.01375)],[1],[0],[0],[1.701863000052981],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
32,0,32,[np.float64(-0.16875)],[np.float64(-0.365)],[1],[0],[0],[1.9170604000100866],['target'],32,0,32,0,48.97278990002815,,10,48.95741859998088,48.97278990002815,48.97278990002815,0.016099800006486475,50.87452509999275,[np.float64(-0.16875)],[np.float64(-0.365)],[1],[0],[0],[1.9170604000100866],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
33,0,33,[np.float64(-0.4375)],[np.float64(-0.37875)],[1],[0],[0],[1.701534099993296],['target'],33,0,33,0,50.90599860006478,,10,50.88880189997144,50.90599860006478,50.90599860006478,0.014146300032734871,52.59039510006551,[np.float64(-0.4375)],[np.float64(-0.37875)],[1],[0],[0],[1.701534099993296],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
34,0,34,"[np.float64(-0.07125), np.float64(-0.08875)]","[np.float64(-0.29), np.float64(-0.2975)]","[1, 1]","[0, 0]","[0, 0]","[1.2085952999768779, 2.1082137000048533]","[None, 'target']",34,0,34,0,52.60671980003826,,5,52.59866170003079,52.60671980003826,52.60671980003826,0.00809979997575283,54.70692320005037,"[np.float64(-0.07125), np.float64(-0.08875)]","[np.float64(-0.29), np.float64(-0.2975)]","[1, 1]","[0, 0]","[0, 0]","[1.2085952999768779, 2.1082137000048533]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
35,0,35,[np.float64(-0.42875)],[np.float64(0.27875)],[1],[0],[0],[1.4074619999155402],['target'],35,0,35,0,54.722070900024846,,5,54.71539170003962,54.722070900024846,54.722070900024846,0.008358500082977116,56.12289920006879,[np.float64(-0.42875)],[np.float64(0.27875)],[1],[0],[0],[1.4074619999155402],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
36,0,36,[np.float64(-0.0725)],[np.float64(0.4825)],[1],[0],[0],[1.3509298000717536],['target'],36,0,36,0,56.15518750005867,,10,56.138435399974696,56.15518750005867,56.15518750005867,0.015394799993373454,57.48941909999121,[np.float64(-0.0725)],[np.float64(0.4825)],[1],[0],[0],[1.3509298000717536],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
37,0,37,[np.float64(0.2775)],[np.float64(0.4)],[1],[0],[0],[1.0921271999832243],['target'],37,0,37,0,57.50509900006,,5,57.49757700006012,57.50509900006,57.50509900006,0.008018200052902102,58.589751700055785,[np.float64(0.2775)],[np.float64(0.4)],[1],[0],[0],[1.0921271999832243],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
38,0,38,"[np.float64(-0.4975), np.float64(-0.48375)]","[np.float64(-0.0775), np.float64(-0.075)]","[1, 1]","[0, 0]","[0, 0]","[1.27474860008806, 2.0911024000961334]","[None, 'target']",38,0,38,0,58.605110300006345,,5,58.59800700005144,58.605110300006345,58.605110300006345,0.008155800052918494,60.6891648999881,"[np.float64(-0.4975), np.float64(-0.48375)]","[np.float64(-0.0775), np.float64(-0.075)]","[1, 1]","[0, 0]","[0, 0]","[1.27474860008806, 2.0911024000961334]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
39,0,39,[np.float64(0.3675)],[np.float64(0.48625)],[1],[0],[0],[1.868026899988763],['target'],39,0,39,0,60.720866800053045,,10,60.70426899997983,60.720866800053045,60.720866800053045,0.01494939997792244,62.572355700074695,[np.float64(0.3675)],[np.float64(0.48625)],[1],[0],[0],[1.868026899988763],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
40,0,40,"[np.float64(0.3425), np.float64(0.31875)]","[np.float64(0.14), np.float64(0.14)]","[1, 1]","[0, 0]","[0, 0]","[2.567455100012012, 3.3675138000398874]","[None, 'target']",40,0,40,0,62.603635500068776,,10,62.587664199993014,62.603635500068776,62.603635500068776,0.015168300014920533,65.9552335999906,"[np.float64(0.3425), np.float64(0.31875)]","[np.float64(0.14), np.float64(0.14)]","[1, 1]","[0, 0]","[0, 0]","[2.567455100012012, 3.3675138000398874]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
41,0,41,[np.float64(0.46375)],[np.float64(0.47625)],[1],[0],[0],[1.1682711000321433],['target'],41,0,41,0,65.98705500003416,,10,65.9704638000112,65.98705500003416,65.98705500003416,0.015079200034961104,67.13878310006112,[np.float64(0.46375)],[np.float64(0.47625)],[1],[0],[0],[1.1682711000321433],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
42,0,42,[np.float64(0.01625)],[np.float64(-0.4325)],[1],[0],[0],[1.9911396000534296],['target'],42,0,42,0,67.15356530004647,,5,67.14682350005023,67.15356530004647,67.15356530004647,0.00792970007751137,69.13801070000045,[np.float64(0.01625)],[np.float64(-0.4325)],[1],[0],[0],[1.9911396000534296],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
43,0,43,[np.float64(0.195)],[np.float64(-0.3625)],[1],[0],[0],[1.207914000027813],['target'],43,0,43,0,69.15363179997075,,5,69.14618460007478,69.15363179997075,69.15363179997075,0.008074899902567267,70.35414569999557,[np.float64(0.195)],[np.float64(-0.3625)],[1],[0],[0],[1.207914000027813],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
44,0,44,[np.float64(-0.22875)],[np.float64(-0.2475)],[1],[0],[0],[1.3421160000143573],['target'],44,0,44,0,70.37003250000998,,5,70.36236909998115,70.37003250000998,70.37003250000998,0.00813109998125583,71.7045317000011,[np.float64(-0.22875)],[np.float64(-0.2475)],[1],[0],[0],[1.3421160000143573],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
45,0,45,[np.float64(0.21875)],[np.float64(0.31)],[1],[0],[0],[1.8014429999748245],['target'],45,0,45,0,71.73608539998531,,10,71.71952859999146,71.73608539998531,71.73608539998531,0.014902299968525767,73.52102560002822,[np.float64(0.21875)],[np.float64(0.31)],[1],[0],[0],[1.8014429999748245],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
46,0,46,[np.float64(-0.26)],[np.float64(0.07125)],[1],[0],[0],[8.686424499959685],['target'],46,0,46,0,73.55194280005526,,10,73.53472100000363,73.55194280005526,73.55194280005526,0.013598100049421191,82.22122720000334,[np.float64(-0.26)],[np.float64(0.07125)],[1],[0],[0],[8.686424499959685],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
47,0,47,[np.float64(0.18375)],[np.float64(0.3825)],[1],[0],[0],[1.568298599915579],['target'],47,0,47,0,82.26506090001203,,10,82.25214220001362,82.26506090001203,82.26506090001203,0.030726200086064637,83.82051290001255,[np.float64(0.18375)],[np.float64(0.3825)],[1],[0],[0],[1.568298599915579],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
48,0,48,[np.float64(-0.415)],[np.float64(0.45375)],[1],[0],[0],[2.039647400029935],['target'],48,0,48,0,83.88664819998667,,10,83.86236210004427,83.88664819998667,83.88664819998667,0.04168359993491322,85.90203630004544,[np.float64(-0.415)],[np.float64(0.45375)],[1],[0],[0],[2.039647400029935],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
49,0,49,"[np.float64(0.05875), np.float64(0.07625)]","[np.float64(0.3325), np.float64(0.3325)]","[1, 1]","[0, 0]","[0, 0]","[1.9415365000022575, 3.04134650004562]","[None, 'target']",49,0,49,0,85.91738890006673,,5,85.91010290000122,85.91738890006673,85.91738890006673,0.00794729997869581,88.95149650005624,"[np.float64(0.05875), np.float64(0.07625)]","[np.float64(0.3325), np.float64(0.3325)]","[1, 1]","[0, 0]","[0, 0]","[1.9415365000022575, 3.04134650004562]","[None, 'target']",P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
50,0,50,[np.float64(0.4)],[np.float64(0.2375)],[1],[0],[0],[1.3185506999725476],['target'],50,0,50,0,88.9828413000796,,10,88.9666145000374,88.9828413000796,88.9828413000796,0.015006399946287274,90.28521900007036,[np.float64(0.4)],[np.float64(0.2375)],[1],[0],[0],[1.3185506999725476],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
51,0,51,[np.float64(-0.0325)],[np.float64(-0.015)],[1],[0],[0],[1.3524560000514612],['target'],51,0,51,0,90.3164174000267,,10,90.29957679996733,90.3164174000267,90.3164174000267,0.014244199963286519,91.65210840001237,[np.float64(-0.0325)],[np.float64(-0.015)],[1],[0],[0],[1.3524560000514612],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
52,0,52,[np.float64(-0.25875)],[np.float64(-0.1625)],[1],[0],[0],[1.341280100052245],['target'],52,0,52,0,91.66636689996812,,5,91.65933589998167,91.66636689996812,91.66636689996812,0.007073699962347746,93.0006687999703,[np.float64(-0.25875)],[np.float64(-0.1625)],[1],[0],[0],[1.341280100052245],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
53,0,53,[np.float64(-0.035)],[np.float64(-0.30875)],[1],[0],[0],[1.2520396000472829],['target'],53,0,53,0,93.03193860000465,,10,93.01556069997605,93.03193860000465,93.03193860000465,0.014798499993048608,94.26764860004187,[np.float64(-0.035)],[np.float64(-0.30875)],[1],[0],[0],[1.2520396000472829],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
54,0,54,[np.float64(-0.02375)],[np.float64(-0.0175)],[1],[0],[0],[1.6243252999847755],['target'],54,0,54,0,94.28246620006394,,5,94.27585630002432,94.28246620006394,94.28246620006394,0.008096300065517426,95.90023180004209,[np.float64(-0.02375)],[np.float64(-0.0175)],[1],[0],[0],[1.6243252999847755],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
55,0,55,[np.float64(-0.47125)],[np.float64(0.2125)],[1],[0],[0],[1.459201299934648],['target'],55,0,55,0,95.9155996000627,,5,95.90820800000802,95.9155996000627,95.9155996000627,0.007882199948653579,97.36746840004344,[np.float64(-0.47125)],[np.float64(0.2125)],[1],[0],[0],[1.459201299934648],['target'],P_02,001,2025-09-28_19h23.25.518,Visual search experiment,,2025.1.1,60.51539751690823,2025-09-28 19h23.39.601027 +0530,
